"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ABILENE","Dickinson","KS",1860,,38.9291341,-97.2212109
"ACTIVITY","Dixon","NE",1860,1861,,
"AIR HALL","Bell","TX",1860,,,
"ALLEYTON","Colorado","TX",1860,1958,29.7066234,-96.4863586
"AMERICA CITY","Nemaha","KS",1860,1932,39.5736067,-96.0319404
"ANALY","Sonoma","CA",1860,1870,38.407419,-122.8262148
"ARAPAHOE","Arapahoe","KS",1860,1861,,
"ARAPAHOE","Cheyenne","CO",1860,,38.8500072,-102.1821277
"ARCADE","Cook","TX",1860,1862,,
"ARCATA","Humboldt","CA",1860,,40.8665166,-124.0828396
"ASPINWALL","Nemaha","NE",1860,1903,40.3000009,-95.6419326
"ATHENS","Richardson","NE",1860,1881,40.0433332,-95.9916661
"AUBREY","Johnson","KS",1860,1888,38.7708421,-94.671068
"BAZAAR","Chase","KS",1860,1974,38.2719604,-96.5352854
"BELLOTA","San Joaquin","CA",1860,1918,38.0529779,-121.0138298
"BELPASSI","Marion","OR",1860,1871,45.1081752,-122.8975952
"BERLIN","Washington","TX",1860,1871,30.1713271,-96.4458011
"BIG TURKEY","McPherson","KS",1860,1866,,
"BIRMINGHAM","Palo Pinto","TX",1860,1860,,
"BLUE RAPIDS","Marshall","KS",1860,,39.6819447,-96.6597387
"BLUFF CREEK","Polk","TX",1860,1866,30.7093656,-94.8040981
"BOGGY","Lamar","TX",1860,1861,,
"BOSQUEVILLE","McLennan","TX",1860,1907,31.62322,-97.1972278
"BOVINE","Lavaca","TX",1860,1889,,
"BOWERY","Leon","TX",1860,1866,,
"BRECKENRIDGE","Summit","CO",1860,,39.4793281,-106.0446015
"BURNEY ACADEMY","Marshall","OK",1860,1866,,
"BURRIS' PRAIRIE","Angelina","TX",1860,1864,,
"CALPELLA","Mendocino","CA",1860,1971,39.2343348,-123.2027828
"CAMP COOPER","Throckmorton","TX",1860,1860,,
"CANON CITY","Fremont","CO",1860,,38.440985,-105.242447
"CARTER","Denton","TX",1860,1861,33.1903973,-97.1016782
"CASA BLANCA","Jim Wells","TX",1860,1866,28.000849,-97.9038886
"CASA BLANCA","Pinal","AZ",1860,1861,33.11719,-111.8873424
"CEDARVILLE","Grays Harbor","WA",1860,1907,46.8584317,-123.2823714
"CENTRALIA","Nemaha","KS",1860,,39.7248141,-96.1332119
"CHEHALIS POINT","Grays Harbor","WA",1860,1879,,
"CHEROKEE CITY","Cherokee","KS",1860,1870,,
"CHOCTAW AGENCY","LeFlore","OK",1860,1871,,
"CLEAR FORK","Parker","TX",1860,1867,,
"COAL BANK","Thurston","WA",1860,1873,,
"COLES VALLEY","Douglas","OR",1860,1914,43.3651152,-123.502586
"COLONA","Larimer","CO",1860,1861,40.6263711,-105.1377578
"COLORADO CITY","Arapahoe","KS",1860,1861,,
"COLORADO CITY","El Paso","CO",1860,1917,38.7230447,-105.1410915
"COLUMBUS","Doniphan","KS",1860,1867,39.8552719,-94.9655259
"COMANCHE","Comanche","TX",1860,,31.895859,-98.608334
"COODY'S BLUFF","Nowata","OK",1860,1955,36.6984226,-95.5641434
"CORYELL","Coryell","TX",1860,1958,31.5462735,-97.618353
"COTTAGE HILL","Bexar","TX",1860,1877,,
"COURTNEY","Grimes","TX",1860,1974,30.2671552,-96.0599572
"CRACKER'S NECK","Chambers","TX",1860,1860,,
"CUMMINGSVILLE","Goliad","TX",1860,1883,,
"DALBY'S SPRINGS","Bowie","TX",1860,1866,33.369006,-94.6796521
"DANVILLE","Contra Costa","CA",1860,,37.8215929,-121.9999606
"DENNISON","Gage","NE",1860,1862,,
"DENVER CITY","Arapahoe","KS",1860,1861,,
"DENVER CITY","Denver","CO",1860,1866,,
"DESCHUTES BRIDGE","Sherman","OR",1860,1860,45.6337344,-120.9095094
"DOUBLE BAYOU","Chambers","TX",1860,1949,29.6927249,-94.6290832
"DOUGHERTY'S STATION","Alameda","CA",1860,1896,37.7021521,-121.9357918
"DREW'S CORNERS","Polk","TX",1860,1867,,
"DUFFAU","Erath","TX",1860,,32.0823672,-98.0219794
"DWAMISH","King","WA",1860,1901,47.5070436,-122.2909571
"EAGLE VALLEY","Leon","TX",1860,1866,,
"EH-YOH-HEE","Cherokee","OK",1860,1866,,
"EL DORADO","Butler","KS",1860,,37.81724,-96.8622524
"ELDERTON","Shasta","CA",1860,1862,,
"ELK POINT","Union","SD",1860,,42.68686,-96.685524
"ELMANDARO","Lyon","KS",1860,1870,,
"ELMENDARO","Lyon","KS",1860,1870,,
"EXPERIMENT","Galveston","TX",1860,1861,,
"FAIR PLAY","El Dorado","CA",1860,1944,38.5868507,-120.6582633
"FAIRVIEW","Pawnee","NE",1860,1861,,
"FIREBAUGH'S FERRY","Fresno","CA",1860,1862,36.8588376,-120.4560072
"FORKS HOUSE","Placer","CA",1860,1861,39.1362895,-120.7004869
"FORT ABERCROMBIE","Richland","ND",1860,1892,46.4477384,-96.7303557
"FORT CHURCHILL","Lyon","NV",1860,1924,39.2926954,-119.2709923
"FORT JONES","Siskiyou","CA",1860,,41.6076387,-122.8403099
"FORT RANDALL","Gregory","SD",1860,1907,43.0244399,-98.6242505
"FORT WISE","Arapahoe","KS",1860,1861,,
