"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ALAMEDA","Bernalillo","NM",1866,1960,35.1867101,-106.6180813
"ALISAL","Monterey","CA",1866,1869,36.6818642,-121.6043951
"AMERICAN CITY","Storey","NV",1866,1868,39.2699121,-119.6612896
"APACHE PASS","Cochise","AZ",1866,1880,32.1517483,-109.4817294
"ASHLAND","Saunders","NE",1866,,41.039165,-96.368346
"AUBREY","Mohave","AZ",1866,1886,34.300015,-114.0774452
"AURORA","Mineral","NV",1866,1919,38.2871421,-118.9006963
"AYRES RETREAT","Bell","TX",1866,1867,,
"BAKER CITY","Baker","OR",1866,1911,44.7870965,-117.8371625
"BANNER","Jackson","KS",1866,1879,39.4494391,-95.8108195
"BEARDEN","Lavaca","TX",1866,1866,,
"BELLE MONTE","Boulder","CO",1866,1866,40.0544303,-105.383605
"BENTON","Mono","CA",1866,,37.8002103,-118.5290107
"BERNARD STATION","Wharton","TX",1866,1872,,
"BIG TIMBER","Riley","KS",1866,1886,39.5352759,-96.6308443
"BIRDSTON","Navarro","TX",1866,1909,31.9101606,-96.3038652
"BLACKFOOT CITY","Powell","MT",1866,1896,46.6816016,-112.5430851
"BOULDER VALLEY","Jefferson","MT",1866,1897,46.2365947,-112.1208336
"BROOKELAND","Sabine","TX",1866,,31.1526918,-93.9935221
"BRYAN","Brazos","TX",1866,,30.6755,-96.374568
"BRYSON","Johnson","NE",1866,1870,40.4586107,-96.3766803
"BUENA VISTA","Amador","CA",1866,1878,38.2943599,-120.9132726
"BUENA VISTA","Polk","OR",1866,1935,44.7695649,-123.1506524
"BULLARD'S BAR","Yuba","CA",1866,1914,39.4226688,-121.1388457
"CALABASAS","Santa Cruz","AZ",1866,1913,31.4673163,-110.9753657
"CAMP CREEK","Lancaster","NE",1866,1870,40.9499979,-96.4805636
"CAMP McDERMITT","Humboldt","NV",1866,1879,41.9721108,-117.6215285
"CANVILLE","Neosho","KS",1866,1872,,
"CARNER PLACE","Plumas","CA",1866,1867,,
"CENTER","Shelby","TX",1866,,31.7971003,-94.1795338
"CENTREVILLE","Lancaster","NE",1866,1888,40.6538908,-96.7430759
"CENTREVILLE","Washington","OR",1866,1874,45.5512258,-123.0651069
"CHAPMAN'S CREEK","Dickinson","KS",1866,1872,38.9722212,-97.0225139
"CHARLESTON","Doniphan","KS",1866,1867,39.859717,-95.0433055
"CHRYSOPOLIS","Inyo","CA",1866,1867,36.9604888,-118.196763
"CISCO","Placer","CA",1866,1941,39.3015691,-120.5468742
"CLAN ALPINE","Churchill","NV",1866,1868,39.5371427,-117.8365086
"CLEMENT","Jefferson","KS",1866,1866,39.0627783,-95.3327512
"CLEVELAND","Humboldt","CA",1866,1868,,
"CLIPPER GAP","Placer","CA",1866,1960,38.9693418,-121.017444
"COAL CREEK","Ottawa","KS",1866,1884,38.9916662,-97.5030853
"COLEGROVE POINT","Sutter","CA",1866,1871,38.9087867,-121.7927445
"COLFAX","Placer","CA",1866,,39.0993409,-120.9554982
"COLUMBUS","Esmeralda","NV",1866,1899,38.1102073,-118.0192767
"COPP'S STATION","Wabaunsee","KS",1866,1866,,
"CORDOVA","Gonzales","TX",1866,1867,,
"COXE'S CREEK","Crawford","KS",1866,1867,37.6419893,-94.6238481
"COYVILLE","Wilson","KS",1866,,37.6861525,-95.8974859
"CRYSTAL LAKE","Placer","CA",1866,1868,,
"DAYTON","Lake","CO",1866,1868,39.0827698,-106.3819698
"DEEP HOLE","Washoe","NV",1866,1911,40.7190678,-119.4832464
"DEER LODGE CITY","Powell","MT",1866,1894,46.3971496,-112.7358719
"DELPHOS","Ottawa","KS",1866,,39.2811115,-97.7630938
"DENVER","Denver","CO",1866,,39.7510628,-104.9891497
"DETROIT","Dickinson","KS",1866,1961,38.9349995,-97.1208507
"DONNER LAKE","Nevada","CA",1866,1868,39.322743,-120.2651883
"DOYLE","Marion","KS",1866,1871,38.244462,-96.9280786
"EAGLE ROCK","Bonneville","ID",1866,1890,43.4868582,-112.045249
"EAST PORTLAND","Multnomah","OR",1866,1892,45.5153962,-122.6603733
"ELBOW","Fresno","CA",1866,1868,,
"ELK GROVE","Carbon","WY",1866,1869,,
"ELLSWORTH","Nye","NV",1866,1884,38.9729811,-117.754829
"ELSINORE","Allen","KS",1866,1889,37.7944858,-95.1502554
"EMPIRE CITY","Carson City","NV",1866,1895,39.1849106,-119.7132348
"ENRIQUITA","Pima","AZ",1866,1867,,
"ERIE","Neosho","KS",1866,,37.5843554,-95.2409874
"ETNA","Pershing","NV",1866,1866,40.3710187,-118.3204234
