"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"TRAVIS","Austin","TX",1839,1878,30.0124447,-96.3352435
"ALABAMA","Houston","TX",1840,1878,,
"FORT WASHITA","Bryan","OK",1844,1880,34.102874,-96.5463855
"SPRINGFIELD","Limestone","TX",1847,1878,31.6596122,-96.4827583
"DENTON CREEK","Denton","TX",1848,1879,33.0417894,-97.1933474
"ANADARCO","Rusk","TX",1849,1878,31.9282247,-94.8763265
"BELLEVIEW","Rusk","TX",1849,1881,,
"BRAZOS  SANTIAGO","Cameron","TX",1849,1881,26.065634,-97.1585824
"SACRAMENTO CITY","Sacramento","CA",1849,1883,38.5621278,-121.5018998
"SHOCKEY'S PRAIRIE","Lamar","TX",1849,1879,,
"VERNON","Sutter","CA",1849,1878,38.7860123,-121.6185714
"WALNUT HILL","Panola","TX",1849,1880,,
"FOREST HOME","Cass","TX",1850,1883,33.2267947,-94.1729665
"PLENITUDE","Anderson","TX",1850,1883,,
"MAPLE SPRINGS","Red River","TX",1851,1880,,
"SALT CREEK","Juab","UT",1851,1882,39.7102336,-111.8363216
"UNIONVILLE","Cass","TX",1851,1879,,
"BOLD  SPRINGS","McLennan","TX",1852,1882,31.7790503,-97.1338928
"CHERINO","Nacogdoches","TX",1852,1879,,
"DARDANELLES","Jackson","OR",1852,1878,42.4290116,-123.0581038
"IONE VALLEY","Amador","CA",1852,1880,38.3596355,-120.9927195
"NACHES","Houston","TX",1853,1882,31.5440676,-95.2277198
"POND SPRING","Williamson","TX",1854,1880,30.4463122,-97.7655643
"SHAWS FLAT","Tuolumne","CA",1854,1881,38.0077016,-120.4093614
"TOMALLES","Marin","CA",1854,1879,38.246307,-122.9052741
"TRINITY","Trinity","CA",1854,1878,40.7395888,-122.9464156
"ALMA","Rusk","TX",1855,1879,,
"AMERICAN RANCH","Shasta","CA",1855,1878,,
"BAGDAD","Williamson","TX",1855,1882,30.5765831,-97.8697356
"BROOKLYN","Alameda","CA",1855,1878,,
"FORT CRAIG","Socorro","NM",1855,1879,33.635623,-107.0147531
"PERRY","McLennan","TX",1855,1881,31.3365597,-97.3563979
"POST OAK ISLAND","Williamson","TX",1855,1880,,
"SAINT MARY'S MISSION","Pottawatamie","KS",1855,1878,,
"BARTON","Anderson","TX",1856,1879,,
"DELAWARE CITY","Leavenworth","KS",1856,1878,39.2291686,-94.8502403
"PRAIRIE CITY","Douglas","KS",1856,1878,38.7602851,-95.2133055
"SATTLER'S","Comal","TX",1856,1878,29.8479969,-98.175566
"WEBSTER","Wood","TX",1856,1881,32.9265125,-95.3249464
"BELLE CREEK","Washington","NE",1857,1880,41.4522196,-96.349744
"BELMONT","Woodson","KS",1857,1878,37.835871,-95.7841514
"BLOOMING GROVE","Linn","KS",1857,1880,38.2486354,-94.6807902
"CLAYTONVILLE","Brown","KS",1857,1882,39.7766708,-95.5044255
"COVELAND","Island","WA",1857,1881,48.2328768,-122.735728
"ELK CREEK","Osage","KS",1857,1880,38.8402895,-99.544
"MARMITON","Bourbon","KS",1857,1882,37.831985,-94.8246884
"MOUNT ROY","Brown","KS",1857,1882,,
"SAINT FREDERICK","Nemaha","NE",1857,1879,40.3722224,-96.041949
"SNOW HILL","Morris","TX",1857,1878,,
"SOUR SPRING","Caldwell","TX",1857,1880,29.7182836,-97.5991638
"STEPHENSVILLE","Erath","TX",1857,1878,32.223211,-98.203332
"ALBANY","Nemaha","KS",1858,1882,39.9369449,-95.7980448
"CACTUS HILL","Wise","TX",1858,1883,,
"CALLAHAN'S RANCH","Siskiyou","CA",1858,1882,,
"ECHO","Live Oak","TX",1858,1879,,
"FORT COLVILLE","Stevens","WA",1858,1883,48.5343471,-117.8885919
"MARION","Douglas","KS",1858,1881,38.7822279,-95.3996989
"MORGANVILLE","Polk","TX",1858,1881,,
"MOUNT CALM","Limestone","TX",1858,1882,31.7334967,-96.8744387
"PLATTFORD","Sarpy","NE",1858,1880,41.0499987,-96.2086264
"RANDOLPH","Houston","TX",1858,1881,31.3596258,-95.1832721
"SLATE CREEK","Josephine","OR",1858,1878,42.382338,-123.4670077
"TIMBUCTOO","Yuba","CA",1858,1883,39.2168373,-121.3185709
"UNCLE SAM","Lake","CA",1858,1882,38.9779531,-122.8394375
"BEAVER","Thurston","WA",1859,1883,,
"CAMP STOCKTON","Pecos","TX",1859,1879,,
"ELIZABETHTOWN","Anderson","KS",1859,1883,,
"FRANKFORT","Knox","NE",1859,1881,42.8188878,-97.5245079
"ATHENS","Richardson","NE",1860,1881,40.0433332,-95.9916661
"CHEHALIS POINT","Grays Harbor","WA",1860,1879,,
"CUMMINGSVILLE","Goliad","TX",1860,1883,,
"FREMONT","Lyon","KS",1860,1878,,
"GRAYTOWN","Bexar","TX",1860,1883,29.2082971,-98.3191788
"HAMILTON","Park","CO",1860,1881,39.3402663,-105.9152925
"HAYWOOD","Alameda","CA",1860,1880,37.6688205,-122.0807964
"JANESVILLE","Greenwood","KS",1860,1880,,
"MOUNTAIN CITY","Hays","TX",1860,1883,30.037159,-97.8869497
"NOHART","Richardson","NE",1860,1882,40.0107214,-95.3696537
"ROCKLAND","Klickitat","WA",1860,1883,,
"SAN DOMINGO","Bee","TX",1860,1882,28.5297152,-97.782221
"FORT LINCOLN","Bourbon","KS",1861,1879,38.0086465,-94.7619062
"MILL CITY","Clear Creek","CO",1861,1879,39.7647099,-105.600278
"SILVER CREEK","Chase","KS",1861,1881,38.3000159,-96.7408481
"ARINGTON","Atchison","KS",1862,1879,39.4627757,-95.5363667
"BIG THOMPSON","Larimer","CO",1862,1878,40.4185947,-105.188873
"COVE CREEK","Millard","UT",1862,1881,38.8013558,-112.4374387
"ELMORE","Richardson","NE",1862,1882,40.1305569,-95.6349862
"MARION CENTRE","Marion","KS",1862,1881,38.3483493,-97.017245
"OTOE AGENCY","Gage","NE",1862,1880,40.0483352,-96.5769654
"VIENNA","Pottawat","KS",1862,1883,,
"SLATE CREEK","Idaho","ID",1863,1879,45.6382199,-116.2804162
"TIMBER COVE","Sonoma","CA",1863,1883,38.5296352,-123.2711192
"VERDIGRIS FALLS","Greenwood","KS",1863,1880,,
"DUNCANS RETREAT","Washington","UT",1864,1882,,
"GRAFTON","Washington","UT",1864,1882,37.167205,-113.0799425
"GRANT","Nemaha","NE",1864,1882,40.5083338,-96.0391725
"LOGAN","Dodge","NE",1864,1878,41.6341629,-96.4947474
"NEWELLSVILLE","Marion","OR",1864,1880,45.2442852,-122.941488
"PARLEYS PARK","Summit","UT",1864,1881,40.6916161,-111.5413103
"PAYETTEVILLE","Payette","ID",1864,1878,,
"ROSE CREEK","Jefferson","NE",1864,1880,40.0597261,-97.3355944
"SAN MARCOS","San Luis Obispo","CA",1864,1881,35.6958022,-120.6946157
"TYLER'S","Brown","KS",1864,1878,,
"BETHEL","Polk","OR",1865,1880,45.0403956,-123.1848237
"CONTENT","Colorado","TX",1865,1880,,
"EXPRESS RANCH","Baker","OR",1865,1879,44.5821048,-117.4646418
"HARDYVILLE","Mohave","AZ",1865,1883,35.0450009,-114.6216325
"IONE CITY","Nye","NV",1865,1882,39.0402042,-117.6214917
"LYNNE","Weber","UT",1865,1879,41.223,-111.9738304
"MARICOPA WELLS","Pinal","AZ",1865,1879,33.1619936,-112.0840337
"SILVER MOUNTAIN","Alpine","CA",1865,1883,38.6051849,-119.7693438
"APACHE PASS","Cochise","AZ",1866,1880,32.1517483,-109.4817294
"BANNER","Jackson","KS",1866,1879,39.4494391,-95.8108195
"BUENA VISTA","Amador","CA",1866,1878,38.2943599,-120.9132726
"CAMP McDERMITT","Humboldt","NV",1866,1879,41.9721108,-117.6215285
"FORT LARNED","Pawnee","KS",1866,1881,,
"FORT SANDERS","Albany","WY",1866,1882,41.2710896,-105.5986011
"FORT WALLACE","Wallace","KS",1866,1882,38.904955,-101.559503
"HELENA","Chaffee","CO",1866,1880,,
"SAINT CHARLES","Pueblo","CO",1866,1881,38.1388938,-104.6213649
"SAUVIE'S ISLAND","Multnomah","OR",1866,1881,45.6845601,-122.779267
"SHERMAN","Nemaha","NE",1866,1880,40.3219459,-95.819162
"BALD HILLS","Humboldt","CA",1867,1878,41.2190134,-123.9553456
"EIGHT MILE CREEK","Harrison","TX",1867,1878,,
"ETNA","Smith","TX",1867,1881,,
"GALENA","Dodge","NE",1867,1883,,
"GUENOC","Lake","CA",1867,1880,38.7890691,-122.5658161
"HOMESTEAD","Burt","NE",1867,1881,,
"HONEK","Saline","KS",1867,1880,38.7972268,-97.7555952
"HOWARD","Nemaha","NE",1867,1880,40.4800008,-95.9594476
"JACKSONVILLE","Neosho","KS",1867,1882,,
"LAONA","Gage","NE",1867,1880,,
"MCPHERSON","Lincoln","NE",1867,1882,41.0788913,-100.5248608
"NEUTRAL CITY","Cherokee","KS",1867,1882,37.0978407,-94.7949532
"ONION CREEK","Travis","TX",1867,1881,30.1366014,-97.7841711
"OREANA","Pershing","NV",1867,1883,40.3107415,-118.3704239
"ORODELL","Union","OR",1867,1878,45.3429101,-118.1135533
"RED MOUNTAIN CITY","Silver Bow","MT",1867,1880,45.8152042,-112.4452913
"SAINT JOSEPH","Clark","NV",1867,1883,36.5727523,-114.4497026
"SAVANNAH","Pottawatamie","KS",1867,1878,,
"SCOTTS","Gilliam","OR",1867,1878,45.5748506,-120.3511564
"SHERMAN","Santa Clara","CA",1867,1882,,
"SHERWOOD VALLEY","Mendocino","CA",1867,1881,39.527938,-123.4552907
"SIOUX VALLEY","Union","SD",1867,1879,,
"SMITHLAND","Jackson","KS",1867,1883,39.5361062,-95.9641595
"STERLING","Madison","MT",1867,1883,45.5652056,-111.7594221
"SUMMIT","Madison","MT",1867,1881,45.2188138,-111.9308111
"TROUT CREEK","Fergus","MT",1867,1883,46.887464,-109.6801849
"WESLEY","Austin","TX",1867,1879,,
"WILLIAMSVILLE","Richardson","NE",1867,1879,40.1891668,-95.5394282
"BEAVER","Clackamas","OR",1868,1883,45.2498451,-122.5345325
"BRIDGE CREEK","Wheeler","OR",1868,1882,44.6990216,-120.2858523
"CABLE CITY","Deer Lodge","MT",1868,1882,46.1952031,-113.2092221
"CAMP HALLECK","Elko","NV",1868,1880,40.8054802,-115.3369999
"CLIFTON","Nemaha","NE",1868,1883,40.433334,-95.9566691
"DAWSON' MILLS","Richardson","NE",1868,1882,40.1311123,-95.8305486
"DESCHUTES","Wasco","OR",1868,1883,44.1565075,-121.2555881
"DIMON","Leavenw","KS",1868,1883,,
"HILL SPRING","Morris","KS",1868,1878,38.6361197,-96.6752855
"LA JUNTA","Mora","NM",1868,1879,36.2114119,-105.9169641
"LIME CREEK","Dixon","NE",1868,1883,42.6569428,-97.0031008
"NAMAQUA","Larimer","CO",1868,1879,,
"OLD CREEK","San Luis Obispo","CA",1868,1879,35.4346957,-120.8868473
"RUNNING CREEK","Elbert","CO",1868,1883,39.3544655,-104.5985785
"SPRINGVILLE","Broadwater","MT",1868,1879,46.3543757,-111.5771939
"STEELE'S GROVE","Tyler","TX",1868,1878,30.8810312,-94.4471441
"TIPS BRANCH","Pawnee","NE",1868,1882,40.1475004,-96.3502917
"WEST'S MILL","Seward","NE",1868,1882,40.7177841,-97.1297605
"WHEATVILLE","Morris","TX",1868,1882,33.2290096,-94.6963172
