"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ABBOTT","Walla Walla","WA",1884,1884,,
"ABERDEEN","Grays Harbor","WA",1884,,46.9745657,-123.8205392
"ABERFOYLE","Hunt","TX",1884,1904,33.3051113,-96.0252479
"ABEYTON","Las Animas","CO",1884,1890,37.3172387,-104.7519341
"ABNER","Rusk","TX",1884,1884,,
"ABOTTSFORD","Benson","ND",1884,1894,,
"ACME","Hudspeth","TX",1884,1886,,
"ADAMSVILLE","Morrow","OR",1884,1885,45.1793037,-119.7116863
"ADD-RAN","Hood","TX",1884,1885,,
"ADDICKS","Harris","TX",1884,1971,29.7824508,-95.6424457
"ADRIAN","Key Paha","NE",1884,1889,,
"AGATE","Sully","SD",1884,1886,,
"AGNEW","Santa Clara","CA",1884,1967,37.3918849,-121.9646809
"AKIN","Sabine","TX",1884,1886,,
"ALAMITO","Presidio","TX",1884,1892,,
"ALBRIGHT","Rosebud","MT",1884,1892,46.284442,-106.4880814
"ALDER","Custer","ID",1884,1885,,
"ALICETON","Ransom","ND",1884,1886,46.3230199,-97.6298176
"ALLARD","Dawson","MT",1884,1927,47.038901,-104.5671754
"ALMERIA","Loup","NE",1884,1984,41.8258371,-99.5220576
"ALMOND","Sweetwater","WY",1884,1908,,
"ALPINE","Franklin","NE",1884,1887,,
"ALPINE","Morrow","OR",1884,1894,45.616241,-119.5297454
"ALTAMONT","Josephine","OR",1884,1886,42.6378942,-123.4472874
"AMES","Hand","SD",1884,1913,44.2691541,-99.084822
"AMESVILLE","Beaverhead","MT",1884,1897,45.0099238,-113.1111467
"AMY","Elk","KS",1884,1885,37.4694865,-96.0444292
"ANDERSON","Brown","NE",1884,1886,,
"ANGORIA","Palo Pinto","TX",1884,1890,,
"ANTHONY","Dona Ana","NM",1884,,32.0039897,-106.6058257
"ANTHRACITE","Gunnison","CO",1884,1896,,
"APPLE SPRINGS","Trinity","TX",1884,,31.223497,-94.968643
"APPLEBY","Codington","SD",1884,1897,44.8169089,-97.0506257
"AQUA TIBIA","San Diego","CA",1884,1886,,
"ARBUCKLE","Garvin","OK",1884,1906,,
"ARENA","McPherson","SD",1884,1891,,
"ARNOLD","Dallas","TX",1884,1889,,
"ARRAGON","San Miguel","NM",1884,1885,,
"ASHEM","Nelson","ND",1884,1885,,
"ASHLEY","Flathead","MT",1884,1891,48.1916257,-114.3329089
"ASOTIN","Asotin","WA",1884,,46.3407154,-117.050434
"ATHENS","Cuming","NE",1884,1885,,
"ATLANTA","Phelps","NE",1884,,40.3666766,-99.4731595
"ATLAS","Lamar","TX",1884,1943,33.5687173,-95.616903
"AUBERRY","Fresno","CA",1884,,37.0310607,-119.5648598
"AUGUSTA","Lewis & Clark","MT",1884,,,
"AVATON","Harrison","TX",1884,1902,,
"AVILLA","Comanche","KS",1884,1895,37.1278042,-99.3359469
"AVON","Powell","MT",1884,,46.5971546,-112.601977
"AXTELL","Kearney","NE",1884,,40.4783461,-99.1267558
"BACA","Harding","NM",1884,1898,,
"BADGER","Douglas","WA",1884,1890,,
"BAIRD","Gilliam","OR",1884,1886,45.6220743,-120.1636511
"BAKER","Cooke","TX",1884,1887,,
"BANNER","Sheridan","WY",1884,,44.6013609,-106.8653374
"BARLOW","Foster","ND",1884,1965,47.5697204,-99.137892
"BARNES","Barnes","ND",1884,1901,,
"BART","Bastrop","TX",1884,1887,,
"BARTRAM","Kingsbury","SD",1884,1889,44.488028,-97.7500834
"BATES","Pratt","KS",1884,1887,37.4877972,-98.5375828
"BATESVILLE","Zavala","TX",1884,,28.9616763,-99.6172493
"BATTLE BEND","Custer","NE",1884,1887,41.1622306,-99.3981569
"BAURS","Lavaca","TX",1884,1890,,
"BAY CITY","Grays Harbor","WA",1884,1890,46.8645361,-124.0593381
"BAY HORSE","Custer","ID",1884,1927,44.3976983,-114.3117306
"BAY VIEW","Skagit","WA",1884,1954,48.4881428,-122.4174952
"BAYLES","Shasta","CA",1884,1948,40.9443161,-122.4247355
"BAYNEVILLE","Sedgwick","KS",1884,1934,37.5541837,-97.4439354
"BEATRICE","Beadle","SD",1884,1894,,
"BEATRICE","Humboldt","CA",1884,1955,40.6698506,-124.2025577
"BECKTON","Sheridan","WY",1884,1900,44.748581,-107.1297948
"BECKWITH","Lincoln","WY",1884,1931,41.9116078,-110.9671322
"BEE HOUSE","Coryell","TX",1884,,31.4026631,-98.0811418
"BEEMER","Antelope","NE",1884,1884,,
"BEEMER","Cuming","NE",1884,,41.930001,-96.8117024
"BELFORD","Clear Creek","CO",1884,1884,,
"BELLVUE","Larimer","CO",1884,,40.626371,-105.1716479
"BENJAMIN","Knox","TX",1884,,33.583299,-99.7922901
"BERINGTON","Dickinson","KS",1884,,,
"BERNE","Webster","NE",1884,1884,,
"BETH","Collin","TX",1884,1886,,
"BETHANY","Fayette","TX",1884,1891,,
"BEULAH","Malheur","OR",1884,1947,43.9065472,-118.1526936
"BIGGS","Butte","CA",1884,,39.4123876,-121.7127513
