"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"FANTHORP'S","Grimes","TX",1835,1849,,
"CEDAR CREEK","Washington","TX",1837,1848,30.1968822,-96.7419212
"MONTVILLE","Washington","TX",1837,1851,,
"PATTILLO'S","Orange","TX",1837,1853,,
"SPRING CREEK","Harris","TX",1839,1852,30.0310518,-95.1471529
"CHEROKEE AGENCY","Cherokee","OK",1840,1849,,
"PINE CREEK","Red River","TX",1840,1849,33.8662189,-95.0457807
"MCGEE'S","San Jacinto","TX",1841,1853,,
"MILLER'S","Lamar","TX",1841,1849,,
"PLUM CREEK","Caldwell","TX",1841,1848,29.8932773,-97.6616661
"CROFT'S MILLS","Harris","TX",1842,1848,,
"WEBBER'S PRAIRIE","Travis","TX",1842,1853,,
"ARNOLD'S","Waller","TX",1843,1848,,
"FLOURNOY'S","Nacogdoches","TX",1843,1852,,
"HUGHES'","Cass","TX",1843,1849,,
"MOUNT MOURN","Panola","TX",1843,1849,,
"PARRY'S","Panola","TX",1843,1851,,
"WEAVER'S","Bowie","TX",1843,1848,,
"MELTON'S","Navarro","TX",1844,1852,,
"PORT CAVALLO","Matagorda","TX",1844,1853,,
"HALLETT'S","Lavaca","TX",1845,1848,,
"NECHES SALINE","Smith","TX",1845,1851,,
"RATCLIFF'S","Tyler","TX",1845,1852,30.8435341,-94.2626941
"BUCKNER","Collin","TX",1846,1848,33.2176162,-96.6636044
"HAMBLIN","Harris","TX",1846,1851,,
"MULBERRY GROVE","Rusk","TX",1846,1849,,
"WEVER'S","Bowie","TX",1846,1848,,
"WILSON'S","Tyler","TX",1846,1852,,
"ADAM'S BAYOU","Orange","TX",1847,1848,30.0482667,-93.7298881
"ANGLIN'S","Anderson","TX",1847,1849,,
"ATTOYAQUE","San Augustine","TX",1847,1848,,
"AYISH BAYOU","San Augustine","TX",1847,1848,31.1260262,-94.0618575
"BAIZETT","Navarro","TX",1847,1851,,
"BORDER","Harrison","TX",1847,1849,,
"BRUSHY","Williamson","TX",1847,1848,,
"CENTRAL ACADEMY","Harrison","TX",1847,1849,,
"FIREMAN'S HILL","San Jacinto","TX",1847,1850,30.592421,-95.1293818
"GREEN'S","Polk","TX",1847,1853,,
"HACKBERRY BLUFF","Collin","TX",1847,1848,,
"INDIAN POINT","Calhoun","TX",1847,1849,28.5119449,-96.487475
"LOCKRANZY","Cherokee","TX",1847,1851,,
"LONGWOOD","Sabine","TX",1847,1852,,
"LOOK OUT","Upshur","TX",1847,1848,,
"MONTEREY","Harrison","TX",1847,1848,,
"NECHE","Houston","TX",1847,1848,31.5440676,-95.2277198
"PARKER'S POINT","Brazoria","TX",1847,1848,,
"PINCKNEYVILLE","Denton","TX",1847,1848,,
"REEL FOOT","Harrison","TX",1847,1851,,
"SAINT JOSEPH'S","Aransas","TX",1847,1849,,
"WALLING'S MILLS","Rusk","TX",1847,1848,,
"ALFRED","Henderson","TX",1848,1850,,
"ALLEN'S GROVE","Grayson","TX",1848,1849,,
"BLACK JACK","Fayette","TX",1848,1851,,
"CENTREVILLE","Gonzales","TX",1848,1849,,
"COURTLAND","Shelby","TX",1848,1851,,
"EDEN","Harris","TX",1848,1851,,
"FALLS OF BRAZOS","Falls","TX",1848,1849,,
"FORKS OF TRINITY","Rockwall","TX",1848,1848,,
"GRAND BLUFF","Orange","TX",1848,1848,,
"GREEN'S BLUFF","Orange","TX",1848,1852,30.0929879,-93.7365549
"GUM CREEK","Cherokee","TX",1848,1850,31.7876721,-95.3413376
"JONES'","Panola","TX",1848,1852,,
"KEITH'S","Franklin","TX",1848,1850,33.3420564,-95.2816133
"OAK GROVE","Morris","TX",1848,1853,,
"ODD'S CREEK","Lamar","TX",1848,1848,,
"PERRYMAN'S","Waller","TX",1848,1849,,
"PINE HILL","Cherokee","TX",1848,1848,31.9921112,-95.0132743
"POST OAK GROVE","Hopkins","TX",1848,1848,,
"PRICE'S HILL","San Augustine","TX",1848,1848,,
"SHULTS' STORE","Fayette","TX",1848,1848,,
"SUMPTER","Angelina","TX",1848,1852,,
"TRINITY","Rockwall","TX",1848,1848,,
"WASHITA","Grayson","TX",1848,1852,,
"WHITE ROCK","Dallas","TX",1848,1851,32.83145,-96.7003329
"BELLEVILLE","Gonzales","TX",1849,1849,,
"BRIDGE","Kaufman","TX",1849,1850,,
"CENTRE","Cass","TX",1849,1852,,
"CENTREVILLE","Henderson","TX",1849,1849,,
"CLEAR LAKE","Fort Bend","TX",1849,1851,29.4989396,-95.4868411
"CULLOMA","El Dorado","CA",1849,1851,38.800457,-120.8904937
"CYPRESS GROVE","Harris","TX",1849,1850,,
"MILLER'S","Fannin","TX",1849,1852,,
"ROUND HILL","Smith","TX",1849,1851,,
"SOLITUDE","Brazoria","TX",1849,1852,,
"STRING PRAIRIE","Lee","TX",1849,1853,,
"SUGAR LAND","Matagorda","TX",1849,1853,,
"WHITFIELD'S","Waller","TX",1849,1849,,
"AVERY'S","Benton","OR",1850,1850,44.5615104,-123.2606546
"BRANCHTOWN","Cherokee","TX",1850,1851,,
"BRANCIFORTE","Santa Cruz","CA",1850,1850,37.0244914,-121.9906491
"CHAMPOEG","Marion","OR",1850,1850,45.24873,-122.8981534
"CYPRESS CROSSINGS","Newton","TX",1850,1852,,
"ELIZA","Yuba","CA",1850,1851,,
"FORKS OF MARY'S RIVER","Benton","OR",1850,1852,44.3165116,-123.3012083
"FRIER","Guadalupe","TX",1850,1852,,
"GAINES CREEK","Choctaw","OK",1850,1850,33.9517734,-95.2463426
"GILEAD","Gregg","TX",1850,1852,,
"JUNCTION","Contra Costa","CA",1850,1853,,
"MIDWAY","Newton","TX",1850,1853,,
"MINERAL SPRINGS","Wilson","TX",1850,1852,,
"NESMITHS","Polk","OR",1850,1852,44.9273395,-123.3642707
"NESQUALLY","Thurston","WA",1850,1850,47.0478741,-122.7665222
"NEW ALBANY","Linn","OR",1850,1853,44.637344,-123.0978724
"NEW COLUMBIA","Newton","TX",1850,1851,,
"NOLANSVILLE","Bell","TX",1850,1852,31.0782132,-97.6057599
"O'NEALS MILLS","Polk","OR",1850,1850,44.9273395,-123.3642707
"OLDENBURG","Smith","TX",1850,1851,,
"PLEASANT GROVE","Hardin","TX",1850,1852,,
"PLYMOUTH","Columbia","OR",1850,1850,45.8595589,-122.813159
"SAND SPRING","Anderson","TX",1850,1851,,
"SIAM","Leon","TX",1850,1853,,
"SKINNER'S","Lane","OR",1850,1853,44.0540136,-123.0936983
"SLOUGH","Multnomah","OR",1850,1852,45.6020618,-122.6634301
"SPRING CREEK","Collin","TX",1850,1851,,
"SYRACUSE","Linn","OR",1850,1852,44.722066,-123.0387048
"TURKEY CREEK","Hunt","TX",1850,1851,33.3098336,-96.0671938
"YAM HILL FALLS","Yamhill","OR",1850,1852,45.2442834,-123.1148259
"ARENOSA","Victoria","TX",1851,1852,,
"BUTE CREEK","Clackamas","OR",1851,1851,45.0651215,-122.6970335
"CANTON","Smith","TX",1851,1852,32.2173778,-95.1041111
"CARSON'S CREEK","Calaveras","CA",1851,1853,38.0077015,-120.5182545
"CENTRAL SPRINGS","Harrison","TX",1851,1852,,
"CENTRE CREEK","Iron","UT",1851,1851,37.8999742,-112.884113
"CENTREVILLE","Nevada","CA",1851,1852,39.2190608,-121.0610606
"CHEHALEM","Yamhill","OR",1851,1852,45.3278962,-122.88871
"CORN CREEK","Millard","UT",1851,1852,38.8013558,-112.4374387
"CUNNINGHAM'S","Fayette","TX",1851,1852,,
"DALLES","Wasco","OR",1851,1853,45.5945645,-121.1786823
"DAVIS","Panola","TX",1851,1852,32.1779387,-94.4577012
"DOWNERVILLE","Sierra","CA",1851,1852,39.5593405,-120.8277239
"EMINENCE","Columbia","OR",1851,1852,46.0905019,-122.9367407
