"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ZAVALLA","Jasper","TX",1835,1856,31.0090858,-94.1382479
"HODGE'S BEND","Fort Bend","TX",1838,1858,29.6772891,-95.6767556
"MITCHELL'S","Madison","TX",1839,1856,,
"PRESTON","Wharton","TX",1839,1857,,
"SAN LUIS","Brazoria","TX",1840,1855,,
"SAN PEDRO","Houston","TX",1840,1857,31.4751791,-95.3780015
"HINDS'","Brazoria","TX",1845,1854,,
"SAND HILLS","Rusk","TX",1845,1854,,
"SHANNON'S","Montgomery","TX",1845,1857,30.3690952,-95.7957827
"SWEARINGEN'S","Austin","TX",1845,1856,29.849674,-96.2688531
"ASHTON'S","Shelby","TX",1847,1854,31.8837806,-93.9804682
"JOHN'S","Chambers","TX",1847,1859,,
"PINE HILLS","Rusk","TX",1847,1856,32.1046071,-94.605207
"ROCKY MILLS","Lavaca","TX",1847,1855,,
"UNION SPRINGS","Harrison","TX",1847,1857,,
"WARSAW PRAIRIE","Kaufman","TX",1847,1858,,
"ALTON","Denton","TX",1848,1859,,
"BLACK HILL","Rockwall","TX",1848,1856,,
"CEDAR LAKE","Brazoria","TX",1848,1854,29.1925638,-95.082994
"SUMMER GROVE","Smith","TX",1848,1857,,
"BLUE HILL","Williamson","TX",1849,1857,,
"FREDONIA","Gregg","TX",1849,1859,32.403762,-94.7960464
"GUM SPRING","Smith","TX",1849,1857,,
"HOPEWELL","Upshur","TX",1849,1854,32.9106824,-95.0738282
"KINLOCK","Panola","TX",1849,1855,,
"ROCK ISLAND","Waller","TX",1849,1857,30.1727152,-96.125237
"BARREN RIDGE","Van Zandt","TX",1850,1857,,
"CALAPOOYA","Linn","OR",1850,1859,44.327348,-122.7406389
"CHINA GROVE","Gonzales","TX",1850,1857,,
"COLUMBIA CITY","Clark","WA",1850,1855,45.6387281,-122.6614861
"DELAWARE","Wyandotte","KS",1850,1856,,
"ELKHEART","Anderson","TX",1850,1854,31.6261166,-95.5799125
"LA SALLE","Calhoun","TX",1850,1855,,
"LEXINGTON","Clatsop","OR",1850,1857,46.1623271,-123.9234778
"LINN CITY","Clackamas","OR",1850,1854,45.3656761,-122.6123141
"MARYSVILLE","Benton","OR",1850,1854,44.5615104,-123.2606546
"SAN GABRIEL","Williamson","TX",1850,1856,,
"TUALATIN","Washington","OR",1850,1858,45.3722222,-122.7763889
"ALMOND GROVE","Red River","TX",1851,1855,,
"BARCLAY'S FORT","Mora","NM",1851,1854,,
"BENDY'S LANDING","Tyler","TX",1851,1854,,
"BROWNSVILLE","Weber","UT",1851,1854,41.223,-111.9738304
"BRUSHY CREEK","Williamson","TX",1851,1854,30.5132543,-97.7411202
"CINCINNATI","Polk","OR",1851,1856,44.9323414,-123.1181537
"COLETTO","Dewitt","TX",1851,1855,,
"COLUSI","Colusa","CA",1851,1854,39.2143343,-122.0094175
"CONTRA COSTA","Alameda","CA",1851,1855,,
"DOBBIN'S RANCHE","Yuba","CA",1851,1854,,
"GARDINERS CITY","Douglas","OR",1851,1858,43.730117,-124.11039
"LEBANON","Marion","OR",1851,1858,44.9137325,-122.8164791
"MILLERS CREEK","Davis","UT",1851,1854,40.9980002,-111.833549
"MONTEREY","Red River","TX",1851,1854,,
"MOUNT PESREA","Dewitt","TX",1851,1855,,
"MUD SPRING","El Dorado","CA",1851,1855,38.6824039,-120.8477146
"MUSTANG","Lavaca","TX",1851,1857,,
"OAK SPRING","Tuolumne","CA",1851,1854,,
"PARKS BAR","Yuba","CA",1851,1858,39.2210038,-121.3313492
"RICKREAL","Polk","OR",1851,1857,44.9314326,-123.2290046
"TEXAS HILL","Sacramento","CA",1851,1856,38.6715704,-121.169947
"ASHVILLE","Harrison","TX",1852,1854,,
"BELZORA","Smith","TX",1852,1856,,
"BIG DOLLAR","Wood","TX",1852,1855,,
"BUNKER HILL","Rusk","TX",1852,1855,,
"CHARLEY'S RANCH","Butte","CA",1852,1858,,
"CIBOLO","Bexar","TX",1852,1856,,
"CLETO","Karnes","TX",1852,1854,,
"CLOPTON","Smith","TX",1852,1854,,
"DEER CREEK","DOUGLAS","OR",1852,1857,,
"DEER CREEK","Falls","TX",1852,1855,31.2757327,-96.9627681
"FANNING'S DEFEAT","Goliad","TX",1852,1856,,
"HOME","Walker","TX",1852,1854,,
"INDIAN GROVE","Grayson","TX",1852,1854,,
"JENNYOPOLIS","Benton","OR",1852,1857,44.4470666,-123.2762096
"LA CANADA","Rio Arriba","NM",1852,1857,36.0802983,-106.3283621
"MADISON","Orange","TX",1852,1858,30.0929879,-93.7365549
"MARSH'S LANDING","Contra Costa","CA",1852,1854,38.0193654,-121.7643991
"MINERAL HILL","McCurtain","OK",1852,1859,,
"MOUNT JORDAN","Jasper","TX",1852,1854,,
"MOUNT SYLVANIA","Washington","OR",1852,1858,45.439285,-122.7473189
"MUD SPRING","Denton","TX",1852,1855,,
"OPHIR","Mariposa","CA",1852,1856,,
"PALMYRA","Utah","UT",1852,1856,40.1402322,-111.6988152
"PORT CLATSOP","Clatsop","OR",1852,1855,46.1334397,-123.8768087
"PRAIRIE CREEK","Dallas","TX",1852,1854,32.9862331,-96.7180534
"READYVILLE","Hidalgo","TX",1852,1854,,
"SOUTH YAMHILL","Polk","OR",1852,1855,45.07222,-123.26528
"SPRING VALLEY","Polk","OR",1852,1855,45.0540072,-123.0984329
"THIRD CROSSING","Calaveras","CA",1852,1854,,
"WASHINGTON BUTTE","Linn","OR",1852,1859,44.5218426,-122.908349
"WASHINGTON SOUTH YUBA","Nevada","CA",1852,1854,,
"BEAN CREEK","Hunt","TX",1853,1855,32.992619,-96.1621974
"BOX ELDER","Weber","UT",1853,1859,41.5102129,-112.0155015
"BROCKVILLE","Clackamas","OR",1853,1855,45.3831746,-122.7345398
"BUCKNER","Sacramento","CA",1853,1857,,
"CALHOUN","Rusk","TX",1853,1855,,
"CURTISVILLE","Tuolumne","CA",1853,1856,,
"ELKHORN","Douglas","OR",1853,1854,,
"EMERY'S CROSSING","Yuba","CA",1853,1858,,
"HALIFAX","Polk","TX",1853,1858,,
"HESTERVILLE","Dewitt","TX",1853,1857,,
"HOUSEVILLE","Harris","TX",1853,1858,,
"IRISH CREEK","Dewitt","TX",1853,1854,,
"LAGUNA SECA","Santa Clara","CA",1853,1855,37.2127224,-121.7555049
"LAT SHAW'S MILL","Linn","OR",1853,1855,44.2415133,-122.9998086
"MANSENETA","Jackson","OR",1853,1855,42.3873465,-122.976433
"MARLOW'S MILL","Anderson","TX",1853,1854,,
"NEBRASKA CENTRE","Dodge","NE",1853,1856,,
"NORTH SULPHUR","Fannin","TX",1853,1858,,
"ORO CITY","Placer","CA",1853,1858,,
"POST OAK","Wilson","TX",1853,1859,29.4157905,-98.0708402
"PRAIRIE COTTAGE","Colorado","TX",1853,1854,,
"PRESTON","Lane","OR",1853,1855,43.7901229,-123.070636
"PROSPERITY","Falls","TX",1853,1859,,
"PUNTA DE LOS REYES","Marin","CA",1853,1855,38.0590915,-122.9077729
"QUINTANNA","Brazoria","TX",1853,1857,28.9333037,-95.3082711
"RED MOUNT","Sabine","TX",1853,1854,,
"SEVEN OAKS","Galveston","TX",1853,1859,,
"SHINGLE SPRING","El Dorado","CA",1853,1855,38.6604599,-120.936329
"SKULL CREEK","Colorado","TX",1853,1857,29.5316299,-96.4066343
"SPENCER'S BUTTE","Lane","OR",1853,1855,43.9776243,-123.1420323
"STEINBERGERS","San Mateo","CA",1853,1856,,
"SUMMIT","Utah","UT",1853,1854,,
"TABLE CREEK","Otoe","NE",1853,1855,40.676946,-95.8513905
"THURSTON","Linn","OR",1853,1856,44.0545703,-122.9164698
"TROUTMAN","Cherokee","TX",1853,1855,,
"WALLAMETTE","Clackamas","OR",1853,1857,45.290675,-122.7956511
"WALNUT CREEK","Barton","KS",1853,1857,38.3544565,-98.6823038
"WOOD PORT","Jackson","TX",1853,1854,,
"WOODVILLE","Tulare","CA",1853,1855,36.0949526,-119.1984419
"YOUNGSVILLE","Box Elder","UT",1853,1855,,
"ZOAR","Gonzales","TX",1853,1855,,
"ACELANUS","Contra Costa","CA",1854,1855,,
"ALKI","King","WA",1854,1855,47.5773324,-122.4075318
"BENTON","Harrison","TX",1854,1857,,
"BLUE BLUFF","McLennan","TX",1854,1856,,
"BLUE RIDGE","Falls","TX",1854,1857,31.2762892,-96.7413707
"BRACKENVILLE","Milam","TX",1854,1855,,
"CANAL CREEK","Sanpete","UT",1854,1856,39.4760733,-111.5629709
"CARMEL","Walker","TX",1854,1855,,
"CENTRE","Rusk","TX",1854,1858,,
"CLINTON","Nevada","CA",1854,1857,,
"DRY CREEK","Yuba","CA",1854,1858,39.2212809,-121.408018
"DURA","Brazoria","TX",1854,1854,,
"DUROC","Brazoria","TX",1854,1855,,
"ELLIOTT'S RANCH","Sacramento","CA",1854,1857,,
"FORT JOHN","Coshen","WY",1854,1854,,
"GARCITAS","Victoria","TX",1854,1855,,
"GATES","Coryell","TX",1854,1854,,
"GEORGIANA","Sacramento","CA",1854,1858,,
"HACKBERRY GROVE","Grayson","TX",1854,1854,,
"HASKELL'S RANCH","Sutter","CA",1854,1856,,
"HICKORY GROVE","Smith","TX",1854,1856,,
"HOME","Salt Lake","UT",1854,1857,,
"HORTONSVILLE","Karnes","TX",1854,1855,,
"LAUREL","Douglas","OR",1854,1855,43.32095,-123.3406306
"LONE CITY","Utah","UT",1854,1857,,
"MAYSVILLE","Karnes","TX",1854,1855,,
"McDERMOTT'S BRIDGE","San Joaquin","CA",1854,1856,,
"McKENZIE","Lane","OR",1854,1859,44.0887359,-123.0511972
"MILLINO","Colorado","TX",1854,1854,,
"MURRAY","Panola","TX",1854,1855,,
"PAULINEVILLE","Hardin","TX",1854,1859,,
"ROUND PRAIRIE","Lamar","TX",1854,1855,33.835935,-95.7180205
"RUSSIAN RIVER","Sonoma","CA",1854,1857,38.6104658,-122.8691609
"SCATES CREEK","Thurston","WA",1854,1857,46.8012112,-123.0993066
"SILVER CREEK","Marion","OR",1854,1855,44.9887326,-122.7659227
"SOAP CREEK","Benton","OR",1854,1857,44.6984539,-123.2214871
"STRINGTOWN","Butte","CA",1854,1858,,
"SUISUN","Solano","CA",1854,1857,38.2490801,-122.0107989
"TARTLITT","Pacific","WA",1854,1855,,
"TAYLORSVILLE","Utah","UT",1854,1854,,
"UNION POINT","Linn","OR",1854,1859,44.3484573,-122.9856433
"WASHINGTON","Yolo","CA",1854,1856,38.5937938,-121.5169003
"WESTERN","Sacramento","CA",1854,1856,,
"WINTER QUARTERS","Douglas","NE",1854,1855,41.3366637,-95.959736
"ALDERBROOK","Douglas","OR",1855,1859,43.1478941,-123.3636819
"AQUEDUCT CITY","Amador","CA",1855,1855,,
"BERRIEN","Smith","TX",1855,1856,,
"BLOOMINGTON","Douglas","KS",1855,1858,38.9116696,-95.390531
"BOTTLE HILL","El Dorado","CA",1855,1859,38.9443439,-120.8507687
"BOWLING GREEN","Franklin","KS",1855,1857,,
"BRYAN","Doniphan","KS",1855,1856,,
"BURLINGTON","Linn","OR",1855,1857,44.447067,-123.2053742
"CASE'S MILLS","Travis","TX",1855,1859,,
"CLEAR FORK","Caldwell","TX",1855,1856,,
"COUNCIL CITY","Osage","KS",1855,1858,38.7538947,-95.8349868
"DOUGLAS","Douglas","KS",1855,1855,,
"ELIZABETHTOWN","Plumas","CA",1855,1855,,
"FORT JOHNSON","Iron","UT",1855,1859,37.7791429,-113.032171
"FORT THORN","Dona Ana","NM",1855,1859,,
"GOLD HILL","Hopkins","TX",1855,1857,,
"GOLD RIVER","Jackson","OR",1855,1859,42.4206754,-123.2286665
"HALLET","Shawnee","KS",1855,1855,39.104166,-95.8585978
"HILL'S FERRY","Stanislaus","CA",1855,1856,37.3488262,-120.9796501
"JUNIATA","Pottawat","KS",1855,1856,,
"KIDD'S MILLS","Freestone","TX",1855,1856,,
"LA PLATTE","Douglas","NE",1855,1856,,
"LANE","Douglas","KS",1855,1856,,
"LEACH'S STORE","Mariposa","CA",1855,1859,,
"LEWISTOWN","Cass","NE",1855,1858,40.8936115,-95.8922291
"LOCUST SHADE","Dallas","TX",1855,1858,,
"LORING","Shawnee","KS",1855,1855,,
"MIDDLETOWN","Goliad","TX",1855,1859,,
"MILLER","Morris","KS",1855,1856,,
"MOULTON","Gonzales","TX",1855,1858,,
"MOUNT COMFORT","Cherokee","TX",1855,1859,31.8090606,-95.293281
"MOUNT PLEASANT","Salt Lake","UT",1855,1856,,
"NELSON'S CREEK","Plumas","CA",1855,1859,39.8582266,-120.8657841
"NEMAHA","Richardson","NE",1855,1855,40.1902779,-95.5391504
"NEVADA","Douglas","KS",1855,1857,,
"NUATO","Leavenworth","KS",1855,1855,,
"OAK GROVE FARM","Solano","CA",1855,1856,,
"OCENA","Atchison","KS",1855,1858,39.4852756,-95.2877497
"OTHELLO","Lane","OR",1855,1859,44.2790122,-123.2109272
"PAWNEE","Geary","KS",1855,1855,39.0849977,-96.761674
"PEORIA VILLAGE","Miami","KS",1855,1856,,
"PLEASANT SPRINGS","Calaveras","CA",1855,1857,,
"PLEASANT VALLEY","Mariposa","CA",1855,1856,36.1124495,-118.859262
"PORTER'S PRAIRIE","Burleson","TX",1855,1859,,
"PROSPECT HILL","Wood","TX",1855,1856,,
"RABBIT TOWN","Sierra","CA",1855,1857,,
"RANDOLPHSVILLE","San Jacinto","TX",1855,1857,,
"RICHMOND","Nemaha","KS",1855,1859,,
"SAINT BERNARD","Franklin","KS",1855,1858,38.7161188,-95.3502536
"SALT STREAM","Gonzales","TX",1855,1857,,
"SEBASTOPOL","Wilson","TX",1855,1855,,
"SHANNON","Riley","KS",1855,1858,,
"SIERRA","Sierra","CA",1855,1856,39.5673997,-120.6302161
"SMITLITON","Doniphan","KS",1855,1858,,
"SPLIT ROCK","Mariposa","CA",1855,1858,37.3493867,-119.9326664
"SUGAR MOUND","Linn","KS",1855,1859,38.1428068,-94.8135732
"SUMMER GROVE","Rusk","TX",1855,1855,,
"URBANA","Nemaha","KS",1855,1855,,
"WARDVILLE","Johnson","TX",1855,1857,,
"WEST POINT","Freestone","TX",1855,1856,,
"WHITFIELD","Shawnee","KS",1855,1856,39.1124992,-95.7641507
"WOODSON","Marshall","KS",1855,1855,,
"ALEXANDRIA","Leavenworth","KS",1856,1857,39.2777777,-95.0960785
"BENNETTS FERRY","Otoe","NE",1856,1857,40.5972237,-95.7891651
"BOWLING GREEN","McLennan","TX",1856,1857,,
"BRICK POST OFFICE","Sacramento","CA",1856,1858,,
"BROWNSVILLE","Shawnee","KS",1856,1859,38.906114,-95.8160968
"BRUSHYVILLE","Lavaca","TX",1856,1857,,
"CALHOUN","Jackson","KS",1856,1858,,
"CANON CITY","Trinity","CA",1856,1857,40.8315312,-123.0528091
"CARBONDALE","Bourbon","KS",1856,1858,,
"COFACHIQUI","Allen","KS",1856,1859,37.9244799,-95.3999814
"COLVILLE","Grayson","TX",1856,1857,,
"COOK'S FERRY","Austin","TX",1856,1857,,
"DAYTON","Nemaha","NE",1856,1859,40.4875007,-95.9836152
"EUTAW","Robertson","TX",1856,1857,,
"GILPIN","McLennan","TX",1856,1857,,
"GLENDALE","Douglas","KS",1856,1857,,
"GOLDEN VALE","Panola","TX",1856,1858,,
"GREENBUSH","Leavenworth","KS",1856,1856,,
"HODGES'","Guadalupe","TX",1856,1857,,
"IRISHTOWN","Brazos","TX",1856,1857,,
"KEARNEY CITY","Otoe","NE",1856,1857,40.6777794,-95.8461126
"KEZERVILLE","Douglas","KS",1856,1856,,
"LOUISIANA","Douglas","KS",1856,1857,38.804173,-95.209972
"MIDDLETOWN","Shasta","CA",1856,1858,40.5387616,-122.4727892
"MOUNT VERNON","Limestone","TX",1856,1857,,
"NEMAHA AGENCY","Doniphan","KS",1856,1857,,
"ORCHARD","Guadalupe","TX",1856,1858,,
"PALOS","Linn","OR",1856,1857,44.2034574,-123.092589
"PINE GROVE","Washington","OR",1856,1858,,
"ROBERTSON","Hill","TX",1856,1856,,
"SARAHVILLE","Amador","CA",1856,1859,,
"SECONDINE","Wyandotte","KS",1856,1859,,
"SHARON","Panola","TX",1856,1857,,
"TARR'S RANCH","Butte","CA",1856,1859,,
"TAUROMEE","Riley","KS",1856,1858,39.2291632,-96.5919478
"TELEGRAPH MILLS","Houston","TX",1856,1859,,
"TWO MILE BAR","Calaveras","CA",1856,1857,,
"UNION TOWN","Shawnee","KS",1856,1856,39.0666666,-95.854431
"VANNOY","Josephine","OR",1856,1859,42.4323385,-123.4306179
"VERMILLION CITY","Marshall","KS",1856,1859,39.7194429,-96.2658411
"WHEATLAND","Douglas","KS",1856,1856,,
"WOODVILLE","Butte","CA",1856,1858,,
"YAM HILL","Yamhill","OR",1856,1857,45.2940085,-122.7748172
"AMONDA","McLennan","TX",1857,1859,,
"BARTON'S STORE","Solano","CA",1857,1858,,
"BRAZOS  AGENCY","Young","TX",1857,1859,,
"BUCHANAN","Morris","TX",1857,1857,,
"BURN'S FORD","Burnet","TX",1857,1859,,
"BURNSIDE","Atchison","KS",1857,1858,,
"BUTTE CITY","Amador","CA",1857,1858,38.3257477,-120.7352117
"CANNONVILLE","Hays","TX",1857,1859,,
"CEDAR BLUFF","Anderson","KS",1857,1858,38.276411,-95.1938624
"CEDAR ISLAND","Cass","NE",1857,1858,41.0566656,-95.9847349
"CENTRAL BLUFF","Burt","NE",1857,1859,41.9874878,-96.2419655
"CHASTA","Richardson","NE",1857,1859,,
"CHIP'S FLAT","Sierra","CA",1857,1857,39.4598965,-120.8343894
"COLITA","Trinity","TX",1857,1858,30.8838001,-95.0099345
"COLORADO CITY","Yuma","AZ",1857,1858,32.7253249,-114.624397
"COLUMBIA","Lyon","KS",1857,1857,38.403903,-96.1816626
"CREAM LEVEL","Parker","TX",1857,1857,,
"ELDORADO RANCH","El Dorado","CA",1857,1858,38.6632378,-120.747433
